DateReported,DateOccurred,TimeOccurred,StatusName,VictimAge,Lat,Lon,AreaName,TimeRange,CrimeDesc,CRIMECATEGORY,CrimeCount
﻿2010-01-01 00:00:00.0000000,2010-01-01 00:00:00.0000000,04:30:00.0000000,Adult Arrest,22,34.0998,-118.3324,Hollywood,04:00-05:00,INTIMATE PARTNER - SIMPLE ASSAULT,INTIMATE PARTNER VOLENCE,1
2010-01-01 00:00:00.0000000,2010-01-01 00:00:00.0000000,13:20:00.0000000,Adult Arrest,23,34.2772,-118.3682,Foothill,13:00-14:00,INTIMATE PARTNER - SIMPLE ASSAULT,INTIMATE PARTNER VOLENCE,1
2010-01-01 00:00:00.0000000,2010-01-01 00:00:00.0000000,23:00:00.0000000,Adult Arrest,28,34.0204,-118.4139,Pacific,22:00-23:00,INTIMATE PARTNER - SIMPLE ASSAULT,INTIMATE PARTNER VOLENCE,1
2010-01-01 00:00:00.0000000,2010-01-01 00:00:00.0000000,01:30:00.0000000,Adult Arrest,35,34.0487,-118.2588,Central,01:00-02:00,ASSAULT WITH DEADLY WEAPON AGGRAVATED ASSAULT,ASSAULT NOT IPV,1
2010-01-01 00:00:00.0000000,2010-01-01 00:00:00.0000000,15:15:00.0000000,Adult Arrest,47,34.079,-118.2967,Rampart,15:00-16:00,BATTERY - SIMPLE ASSAULT,ASSAULT NOT IPV,1
2010-01-01 00:00:00.0000000,2010-01-01 00:00:00.0000000,11:00:00.0000000,Adult Other,18,34.0534,-118.2745,Rampart,10:00-11:00,BATTERY WITH SEXUAL CONTACT,BATTERY,1
2010-01-01 00:00:00.0000000,2010-01-01 00:00:00.0000000,14:30:00.0000000,Adult Other,23,34.1524,-118.4574,Van Nuys,14:00-15:00,BATTERY - SIMPLE ASSAULT,ASSAULT NOT IPV,1
2010-01-01 00:00:00.0000000,2010-01-01 00:00:00.0000000,07:10:00.0000000,Adult Other,32,34.1691,-118.5523,West Valley,07:00-08:00,INTIMATE PARTNER - SIMPLE ASSAULT,INTIMATE PARTNER VOLENCE,1
2010-01-01 00:00:00.0000000,2010-01-01 00:00:00.0000000,11:30:00.0000000,Adult Other,38,34.1486,-118.4041,N Hollywood,11:00-12:00,INTIMATE PARTNER - SIMPLE ASSAULT,INTIMATE PARTNER VOLENCE,1
2010-01-01 00:00:00.0000000,2010-01-01 00:00:00.0000000,00:01:00.0000000,Invest Cont,NULL,34.1884,-118.5571,West Valley,00:00-01:00,VEHICLE - STOLEN,VEHICLE THEFT/ATTEMPTED,1
2010-01-01 00:00:00.0000000,2010-01-01 00:00:00.0000000,00:20:00.0000000,Invest Cont,NULL,33.8019,-118.2602,Harbor,00:00-01:00,OTHER MISCELLANEOUS CRIME,OTHER MISCELLANEOUS CRIME,1
2010-01-01 00:00:00.0000000,2010-01-01 00:00:00.0000000,02:00:00.0000000,Invest Cont,NULL,33.9971,-118.2565,Newton,01:00-02:00,VEHICLE - STOLEN,VEHICLE THEFT/ATTEMPTED,1
2010-01-01 00:00:00.0000000,2010-01-01 00:00:00.0000000,05:50:00.0000000,Invest Cont,NULL,34.0962,-118.3266,Hollywood,05:00-06:00,VEHICLE - STOLEN,VEHICLE THEFT/ATTEMPTED,1
2010-01-01 00:00:00.0000000,2010-01-01 00:00:00.0000000,08:00:00.0000000,Invest Cont,NULL,34.2333,-118.4052,Foothill,07:00-08:00,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),THEFT,1
2010-01-01 00:00:00.0000000,2010-01-01 00:00:00.0000000,09:30:00.0000000,Invest Cont,16,34.0516,-118.3219,Wilshire,09:00-10:00,RAPE FORCIBLE,SEXUAL ASSAULT/RAPE,1
2010-01-01 00:00:00.0000000,2010-01-01 00:00:00.0000000,02:30:00.0000000,Invest Cont,20,34.2112,-118.4684,Van Nuys,02:00-03:00,VANDALISM - MISDEAMEANOR ($399 OR UNDER),VANDALISM,1
2010-01-01 00:00:00.0000000,2010-01-01 00:00:00.0000000,00:15:00.0000000,Invest Cont,21,34.0031,-118.4473,Pacific,00:00-01:00,THEFT-GRAND ($950.01 & OVER)EXCPTGUNSFOWLLIVESTKPROD0036,THEFT,1
2010-01-01 00:00:00.0000000,2010-01-01 00:00:00.0000000,00:15:00.0000000,Invest Cont,21,34.2042,-118.6262,Topanga,00:00-01:00,ROBBERY,THEFT,1
2010-01-01 00:00:00.0000000,2010-01-01 00:00:00.0000000,02:30:00.0000000,Invest Cont,21,34.056,-118.2916,Olympic,02:00-03:00,ASSAULT WITH DEADLY WEAPON AGGRAVATED ASSAULT,ASSAULT NOT IPV,1
2010-01-01 00:00:00.0000000,2010-01-01 00:00:00.0000000,02:30:00.0000000,Invest Cont,23,34.194,-118.4247,Van Nuys,02:00-03:00,DISCHARGE FIREARMS/SHOTS FIRED,DISCHARGE FIREARMS/SHOTS FIRED,1
2010-01-01 00:00:00.0000000,2010-01-01 00:00:00.0000000,03:00:00.0000000,Invest Cont,23,33.9447,-118.2739,Southeast,02:00-03:00,INTIMATE PARTNER - SIMPLE ASSAULT,INTIMATE PARTNER VOLENCE,1
2010-01-01 00:00:00.0000000,2010-01-01 00:00:00.0000000,05:15:00.0000000,Invest Cont,23,33.96,-118.2959,77th Street,05:00-06:00,BATTERY - SIMPLE ASSAULT,ASSAULT NOT IPV,1
2010-01-01 00:00:00.0000000,2010-01-01 00:00:00.0000000,20:40:00.0000000,Invest Cont,23,34.2012,-118.4294,Van Nuys,20:00-21:00,BURGLARY FROM VEHICLE,BURGLARY,1
2010-01-01 00:00:00.0000000,2010-01-01 00:00:00.0000000,00:10:00.0000000,Invest Cont,25,34.1016,-118.3267,Hollywood,00:00-01:00,BATTERY - SIMPLE ASSAULT,ASSAULT NOT IPV,1
2010-01-01 00:00:00.0000000,2010-01-01 00:00:00.0000000,04:00:00.0000000,Invest Cont,25,34.0572,-118.2576,Rampart,03:00-04:00,BURGLARY,BURGLARY,1
2010-01-01 00:00:00.0000000,2010-01-01 00:00:00.0000000,00:33:00.0000000,Invest Cont,26,34.1421,-118.3703,N Hollywood,00:00-01:00,BATTERY - SIMPLE ASSAULT,ASSAULT NOT IPV,1
2010-01-01 00:00:00.0000000,2010-01-01 00:00:00.0000000,01:10:00.0000000,Invest Cont,26,34.0256,-118.3089,Southwest,01:00-02:00,OTHER MISCELLANEOUS CRIME,OTHER MISCELLANEOUS CRIME,1
2010-01-01 00:00:00.0000000,2010-01-01 00:00:00.0000000,03:45:00.0000000,Invest Cont,26,34.0289,-118.3598,Southwest,03:00-04:00,BURGLARY,BURGLARY,1
2010-01-01 00:00:00.0000000,2010-01-01 00:00:00.0000000,15:30:00.0000000,Invest Cont,26,34.1576,-118.438,Van Nuys,15:00-16:00,THEFT PLAIN - PETTY ($950 & UNDER),THEFT,1
2010-01-01 00:00:00.0000000,2010-01-01 00:00:00.0000000,00:30:00.0000000,Invest Cont,29,34.0541,-118.2595,Rampart,00:00-01:00,BATTERY - SIMPLE ASSAULT,ASSAULT NOT IPV,1
2010-01-01 00:00:00.0000000,2010-01-01 00:00:00.0000000,02:30:00.0000000,Invest Cont,29,34.1052,-118.3364,Hollywood,02:00-03:00,BATTERY - SIMPLE ASSAULT,ASSAULT NOT IPV,1
2010-01-01 00:00:00.0000000,2010-01-01 00:00:00.0000000,17:00:00.0000000,Invest Cont,30,34.2233,-118.3964,Foothill,16:00-17:00,BATTERY - SIMPLE ASSAULT,ASSAULT NOT IPV,1
2010-01-01 00:00:00.0000000,2010-01-01 00:00:00.0000000,15:00:00.0000000,Adult Arrest,19,33.9635,-118.3853,Pacific,14:00-15:00,BATTERY - SIMPLE ASSAULT,ASSAULT NOT IPV,1
2010-01-01 00:00:00.0000000,2010-01-01 00:00:00.0000000,06:45:00.0000000,Adult Arrest,29,34.0504,-118.4206,West LA,06:00-07:00,INTIMATE PARTNER - SIMPLE ASSAULT,INTIMATE PARTNER VOLENCE,1
2010-01-01 00:00:00.0000000,2010-01-01 00:00:00.0000000,07:00:00.0000000,Adult Arrest,36,34.0647,-118.2583,Rampart,06:00-07:00,INTIMATE PARTNER - SIMPLE ASSAULT,INTIMATE PARTNER VOLENCE,1
2010-01-01 00:00:00.0000000,2010-01-01 00:00:00.0000000,04:00:00.0000000,Adult Arrest,38,34.2214,-118.3618,Foothill,03:00-04:00,INTIMATE PARTNER - SIMPLE ASSAULT,INTIMATE PARTNER VOLENCE,1
2010-01-01 00:00:00.0000000,2010-01-01 00:00:00.0000000,12:30:00.0000000,Adult Arrest,41,34.0467,-118.2814,Rampart,12:00-13:00,INTIMATE PARTNER - SIMPLE ASSAULT,INTIMATE PARTNER VOLENCE,1
2010-01-01 00:00:00.0000000,2010-01-01 00:00:00.0000000,02:00:00.0000000,Adult Arrest,44,34.0226,-118.3351,Southwest,01:00-02:00,BATTERY - SIMPLE ASSAULT,ASSAULT NOT IPV,1
2010-01-01 00:00:00.0000000,2010-01-01 00:00:00.0000000,06:00:00.0000000,Adult Other,NULL,34.1554,-118.303,Northeast,05:00-06:00,BURGLARY,BURGLARY,1
2010-01-01 00:00:00.0000000,2010-01-01 00:00:00.0000000,03:00:00.0000000,Adult Other,20,34.1867,-118.4749,West Valley,02:00-03:00,BATTERY - SIMPLE ASSAULT,ASSAULT NOT IPV,1
2010-01-01 00:00:00.0000000,2010-01-01 00:00:00.0000000,04:45:00.0000000,Adult Other,24,34.0874,-118.2494,Northeast,04:00-05:00,VANDALISM - MISDEAMEANOR ($399 OR UNDER),VANDALISM,1
2010-01-01 00:00:00.0000000,2010-01-01 00:00:00.0000000,01:00:00.0000000,Adult Other,36,34.156,-118.4509,Van Nuys,01:00-02:00,BATTERY - SIMPLE ASSAULT,ASSAULT NOT IPV,1
2010-01-01 00:00:00.0000000,2010-01-01 00:00:00.0000000,01:30:00.0000000,Adult Other,50,33.9547,-118.2586,Southeast,01:00-02:00,ASSAULT WITH DEADLY WEAPON AGGRAVATED ASSAULT,ASSAULT NOT IPV,1
2010-01-01 00:00:00.0000000,2010-01-01 00:00:00.0000000,00:05:00.0000000,Invest Cont,NULL,34.0972,-118.2592,Northeast,00:00-01:00,DISCHARGE FIREARMS/SHOTS FIRED,DISCHARGE FIREARMS/SHOTS FIRED,1
2010-01-01 00:00:00.0000000,2010-01-01 00:00:00.0000000,01:00:00.0000000,Invest Cont,NULL,34.086,-118.3091,Hollywood,01:00-02:00,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),THEFT,1
2010-01-01 00:00:00.0000000,2010-01-01 00:00:00.0000000,14:00:00.0000000,Invest Cont,NULL,34.25,-118.6017,Devonshire,13:00-14:00,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),THEFT,1
2010-01-01 00:00:00.0000000,2010-01-01 00:00:00.0000000,16:40:00.0000000,Invest Cont,NULL,34.2048,-118.4468,Van Nuys,16:00-17:00,TRESPASSING
